Language,# of differing features
English,0.0
Norwegian,2.4944293495707592
Wambaya,2.5495097567963922
Dyirbal,3.647681151087633
Luiseño,3.9122343718136317
Chickasaw,4.226238148755936
Blackfoot,4.997217003493044
Basque,5.3463570157631635
"Kati (in West Papua, Indonesia)",
