tag,target_lang,EF_BLEU_SCORE,EF_CHRF_SCORE,EF_CTER_SCORE,EF_EM_SCORE,FE_BLEU_SCORE,FE_CHRF_SCORE,FE_CTER_SCORE,FE_EM_SCORE,BLEU_SCORE,CHRF_SCORE,CTER_SCORE,EM_SCORE,Contamination
d48a,yidiny,0,0,0,0,0,0,0,0,0,0,0,0, no
d524,georgian,,,,,61.78,78.07,77.88,0,61.78,78.07,77.88,0, yes
d97a,kayapo,0,0,0,0,0,0,0,0,0,0,0,0, no
db79,haitian,9.28,20.4,11.4,0,50,45.11,41.18,0,12.67,22.46,13.88,0, yes
deb4,proto-algonquian,35.36,90.57,89.47,50,40.82,55.16,40,0,37.18,78.76,72.98,33.33, no
e08a,jaqaru,0,8.69,6.94,0,0,0,0,0,0,5.79,4.63,0, no
e36b,witsuwit’en,,,,,0,12.32,8.33,0,0,12.32,8.33,0, no
e9c1,copainalá,16.67,57.03,51.62,0,79.25,80.26,82.09,50,47.96,68.64,66.86,25, no
eae7,bamanan-kan,44.76,73.06,69.92,20,42.43,49.49,40,40,44.17,67.17,62.44,25, yes
ed4b,tshiluba,0,33.69,30.09,0,17.21,37.18,22.15,0,6.45,35,27.11,0, no
edaf,amele,34.71,47.98,46.55,12.5,,,,,34.71,47.98,46.55,12.5, no
f003,abma,75.55,89.65,84.48,57.14,74.03,83.29,73.98,33.33,75.1,87.74,81.33,50, no
f020,bulgarian,88.16,100,99.13,80,100,100,100,100,94.62,100,99.6,90.91, yes
f9b2,nung,22.8,61.94,52.48,0,33.26,67.8,58.47,0,28.03,64.87,55.48,0, no
f9e7,afrihili,0,60.11,47.15,0,47.14,96.94,96.3,66.67,14.14,71.16,61.9,20, no 
overall,average,29.23,58.54,54.76,19.63,42.82,55.46,51.16,25.96,34.05,57.45,53.48,21.87,
